,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
517,Backport MULE-8315 and MULE-7789 to all maintenenance branches,"As part of the library updates related to security vulnerabilities, there is a couple of changes that must be backported to 3.5.x, 3.4.x, 3.3.x, 3.2.x and 3.1.x:    MULE-7789: needed to remove the usage of tomcat-util artifact (this one is already included in 3.5.x branch)  MULE-8315: needed to upgrade tomcat libraries to a newer version",EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
518,Display a invalid drop target icon on the version list when trying to assign story for a different project to a version,"Use the browser default cursor ""not allowed""",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
519,Alloy: Update content assist for data binding with Ti.UI.Picker,ALOY-440 adds support for collection binding on the <PickerColumn> tag. See sample in https://github.com/appcelerator/alloy/tree/master/test/apps/testing/ALOY-440    Studio should support this for content assist and code completion.,EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
520,Session timeout and refreshing of Latest Status bar causes decorated login screen to appear inside page rather than taking up whole page,Attached is a screenshot of what happens when your session has timed out and you go back then forward - appears after about 5-10 seconds,EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
521,Provide a source option to enable the SOF/EOF markers when splitting a file into lines,Depends on INT-3727,EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
522,Android: 9-patch padding box area ignored for Button backgroundImage,"From doc [Nine-patch|http://developer.android.com/intl/ru/guide/topics/graphics/2d-graphics.html#nine-patch]:    {code}  The pink rectangle in the bottom image identifies the region in which the contents of the View are allowed.   If the contents don't fit in this region, then the image will be stretched so that they do.   {code}    But it ignored:    {code:xml}  <Button backgroundImage=""/images/alert_button.png"">Блокировать</Button>  {code}    Result:  !2016-02-04 00-57-18 Genymotion for personal use - Google Nexus 4 - 4.2.2 - API 17 - 768x1280 (768x1280, 320dpi) - 192.168.5.png|thumbnail!    xhdpi Image source:  !alert_button.9.png|thumbnail!    ",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
523,LSE-75: Refine WCS and PSF requirements,Clarify the data format and precision requirements of the TCS (or other Telescope and Site components) on the reporting of WCS and PSF information by DM on a per-image basis.  Depends on the ability of the T&S group to engage with this subject during the Winter 2015 period.  Can be deferred to Summer 2015 without major impacts.  Current PMCS deadline for Phase 3 readiness of LSE-75 is 29-Sep-2015.,EST_BE,Medium,INT Sprint 1,16,16,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
524,WorklogHistoryCacheImpl doesn't remove cache registration on disposal,From [JST-4291|https://studio.atlassian.com/browse/JST-4291?focusedCommentId=39798&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-39798]  It's not possible to disable and re-enable the GH plugin in UPM atm. The problem is that the _com.atlassian.greenhopper.service.timetracking.WorklogHistoryCacheImpl_ doesn't clean up its registered cache on disposal. It should implement _org.springframework.beans.factory.DisposableBean_ and call _cacheManager.removeCache(CACHE_NAME)_ (watch out for ISE) or check for _net.sf.ehcache.CacheManager.cacheExists(String)_ on _afterPropertiesSet_.,EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
525,"Broken ""Deployment"" link in docs","Please see ""Deployment"" link on http://docs.spring.io/autorepo/docs/spring-xd/1.1.0.RELEASE/reference/html/#_module_deployment page.     !broken-link-deployment.png!    The link is broken and redirects to http://docs.spring.io/autorepo/docs/spring-xd/1.1.0.RELEASE/reference/html/Deployment which is a 404.",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
526,Update Rate Limiting Design doc to reflect the latest changes,- Usage  - Design  - Implementation Notes,EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
527,Task priority data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,6,8,9,10,9.0,0.33,0.04,9.0,9.17,9.42,9.77,9,2704,8
528,Planning package for Batch Production Services with engineering judgement BOE,"Following list of elements for consideration (DM-6642), estimate planning packages for Batch Production Services WBS element.    BOE is derived from engineering judgement based on conops documents.  ",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
529,Create Boot based ModuleRunner,"As a developer, I'd like to build isolated Boot-based {{ModuleRunner}} for use in container-managed environments, so I can run XD without the hard requirement for running _xd-containers_.",EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
530,Review all the existing cheat sheets and list here the missing ones,"There is not cheat sheet to create a file connection for instance.  Please, list all the missing cheat sheets here (those should correspond to the creation menus of the DQ repository view).   If you think about other cheat sheets, add them here too.   We'll decide later which one will be implemented.   ",EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
531,Bi-weekly meeting with Victor and Iain.,,EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
532,Do dispose for tmatchgroup configure wizard,Too many leaks on closing wizard dialog.,EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
533,Build script that creates an executable server as an artifact,Gradle application plugin is a good starting point.  this should be the main server that would host SI based modules to do syslog->file ingestion (as an example),EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
534,Container nodes should write attributes to ZooKeeper,"The /xd/containers node is the parent where each Container will write an ephemeral child node. The node name should be the Container's ID, and the node data should be the Container's attributes (host, pid, and much more to be added later).    When a Container shuts down cleanly, it should eagerly delete the ephemeral node so that watchers are notified immediately. For any other case (including a network partition), the ephemeral node will disappear after the timeout elapses.",EST_BE,Medium,INT Sprint 1,8,9,7,8,8,7.83,0.17,0.02,7.83,7.92,8.05,8.23,7,1681,8
535,report doesn't show basic chart while it contains both basic and evolution type template,"while a report contains both basic and evolution type template  the generated report file only show the evolution template, doesn't show the basic type",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
536,Hadoop distro option hdp20 is broken,"Starting the shell with --hadoopDistro hdp20 causes this:    Exception in thread ""main"" org.springframework.beans.factory.parsing.BeanDefinitionParsingException: Configuration problem: Unable to locate Spring NamespaceHandler for XML schema namespace [http://www.springframework.org/schema/hadoop]  Offending resource: URL [jar:file:/Users/trisberg/Demo/spring-xd-1.0.0.BUILD-SNAPSHOT/shell/lib/spring-xd-shell-1.0.0.BUILD-SNAPSHOT.jar!/META-INF/spring/spring-shell-plugin.xml]    Creating a stream ""time | hdfs"" in xd-singlenode started with --hadoopDistro hdp20 causes this:    java.lang.IllegalStateException: Can't find class used for type of option 'codec': org.springframework.data.hadoop.store.codec.Codecs  ",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
537,Develop and then create the organizational structure for DM Confluence space,"Before we start populating the DM Confluence space with active pages, we should define an overall organizational structure/taxonomy.",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
538,Re-run Kafka baseline tests in new infrastructure,"As a developer, I'd like to setup a performance testing infrastructure (rackspace), so I can start benching Kafka baselines and continue with XD use-cases.",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
539,Add metadata for description of a module (itself),"As a user, I'd like to have the description for each of the modules so that I can use it to understand the module purpose and it's capabilities (presumably what is captured in javadoc for the module definition).",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
540,Logrotate container logger can die with agent unit on systemd.,,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
541,IMS Enterprise admin notifications fail on message_send(),"Error: !!! Coding error detected, it must be fixed by a programmer: Could not load preference message_provider_imsenterprise_imsenterprise_enrolment_loggedoff. Does the component and name you supplied to message_send() match a row in message_providers? Message providers must appear in the database so users can configure how they will be notified when they receive messages. !!! !! blah !! !! Stack trace: * line 126 of /lib/messagelib.php: coding_exception thrown * line 247 of /enrol/imsenterprise/lib.php: call to message_send() * line 364 of /lib/cronlib.php: call to enrol_imsenterprise_plugin-&gt;cron() * line 79 of /admin/cron.php: call to cron_run()  !!  Does look like any db/messages.php  ",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
542,Learning about Openstack,Sahand progress on learning about Openstack,EST_BE,Medium,INT Sprint 1,8,9,7,8,8,7.83,0.17,0.02,7.83,7.92,8.05,8.23,7,1681,8
543,Show/hide and filter of the custom properties in SL UI,Displaying and filtering of the custom properties in SL UI should also be server-based because TESB-2335 the client data will only be one page and not more.,EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
544,Week end 2/14/16,"Support for lsst-dev cluster, OpenStack, and accounts  for week ending February 14, 2016.",EST_BE,Medium,INT Sprint 1,12,12,11,12,13,12.0,0.33,0.03,12.0,12.17,12.42,12.77,12,4489,8
545,Upgrade grizzly to 2.3.20,This is necessary to upgrade AHC.,EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
546,TiAPI: Ti.UI.ATTRIBUTE_LINK needs to support click events,"Is it possible that Ti.UI.ATTRIBUTE_LINK could respond to click events in addition to longpress? It is difficult to explain to users that they see something that looks clickable, but no, they need to longpress it. We end up having to use StyledLabel modules to get this working.",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
547,Documentation for reactor-ip source has conflicting information,"According to the documentation at: http://docs.spring.io/spring-xd/docs/current/reference/html/#reactor-ip one of the options available for this source is {{transport}}. It's listed as having no default, but the sample definition doesn't provide it yet appears to default to {{tcp}}. The two should match up.  It might also be useful if the possible values for {{transport}} were listed (I assume {{TCP}} and {{UDP}})",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
548,Create a CI Acceptance Tests build for XD Yarn deployment,,EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
549,Upgrade Apache and third party projects to their latest patch releases,As usual we strive to use the latest patch releases especially for the Apache projects to include the latest bug fixes. Therefore we will upgrade the following projects:    - CXF: 2.6.1  - Camel: 2.9.3  - Karaf: 2.2.8  - Cellar: 2.2.5  - ZooKeeper: 3.3.5  - jmx4perl: 1.05    If the version is not yet released use the corresponding SNAPSHOT version. This feature includes also a smoke testto ensure everything still works in principle.,EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
550,Implement success and failure status codes in the outbound part of the HTTP connector,Implement the success-status-code-validator and failure-status-code-validator elements in the <http:request> element as defined in the spec.,EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
551,os::read should have one implementation,"In master there are currently three implementations of the function:   https://github.com/apache/mesos/blob/master/3rdparty/libprocess/3rdparty/stout/include/stout/os/read.hpp#L42  https://github.com/apache/mesos/blob/master/3rdparty/libprocess/3rdparty/stout/include/stout/os/read.hpp#L82  https://github.com/apache/mesos/blob/master/3rdparty/libprocess/3rdparty/stout/include/stout/os/read.hpp#L42    All of them have fairly radically different implementations (One uses C read(), one uses c++ ifstream, one uses c fopen)    The read() based one does an excess / unnecessary copy / buffer allocation (it is going to read into one temporary buffer, then copy into the result string. Would be more efficient to do a .reserve() on the result string, and then fill the result buffer).    The ifstream/ifstreambuf_iterator ignores that you can have an error partially through reading a file / doesn't find the error or propagate it up.    The fopen() variant reads one newline separated line at a time. This could produce interesting / unexpected reading in the context of a binary file. It also causes glibc to insert null bytes at the end of the buffer it reads (excess computation). result isn't pre-allocated to be the right length, meaning that most of the continually read lines will result in realloc() and a lot of memory copies which will be inefficient on large files.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
552,Implement logstore_standard plugin,Implement logstore_standard plugin    http://docs.moodle.org/dev/Logging_2#DB_log_storage_plugin_.28log_standard.29,EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
553,BE - Saving Data to DB per Request/ Schema,,EST_BE,Medium,ET Sprint 2,16,8,16,17,16,16.67,0.0,0.0,16.67,16.67,16.67,16.67,16,6400,8
554,Roundtrip error w/ input validation during EC2 instance startup,Round trip errors occur on the EC2/instance screen when an invalid number of instances are requested,EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
555,Mobile Web configuration: load browsers info in the background when platform config wizard is opened,"Currently the browser information is loaded when Dashboard opens. Since we are moving to the new platform config wizard for configuration, the information should be loaded when the wizard opens.  ",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
556,Editor: remove the black folding gutter or color it correctly,We should find a way to not have the black gutter affect the visual appeal.,EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
557,DM security meeting,Security meeting/planning with LSST DM team at NCSA.,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
558,Refactor Status Update method on Agent to handle HTTP based Executors,"Currently, receiving a status update sent from slave to itself , {{runTask}} , {{killTask}} and status updates from executors are handled by the {{Slave::statusUpdate}} method on Slave. The signature of the method is {{void Slave::statusUpdate(StatusUpdate update, const UPID& pid)}}.     We need to create another overload of it that can also handle HTTP based executors which the previous PID based function can also call into. The signature of the new function could be:    {{void Slave::statusUpdate(StatusUpdate update, Executor* executor)}}    The HTTP Executor would also call into this new function via {{src/slave/http.cpp}}",EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
559,tree view is not compacted properly when only 1 package is present,"!tree_view_bug.png!    We have com.cenqua + samples.money instead of exactly one (root) node named ""com.cenqua.samples.money"".   ",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
